account_clean,classification,trades,unique_accounts,unique_symbols,total_pnl,avg_pnl,median_pnl,win_rate,total_volume_usd,avg_size_usd,avg_leverage,total_fee
0x083384f897ee0f19899168e3b1bec365f52a9012,Fear,3356,1,2,1927735.720035,574.4146960771752,0.0,40.55423122765197,54854631.95,16345.241939809297,,6292.416654
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,2311,1,28,1421911.349228,615.2796837853743,0.0,43.530938987451314,14256001.81,6168.758896581567,,3595.639896
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Fear,21190,1,3,940157.212682,44.36796662019821,0.0,46.753185464841906,68036326.2,3210.7751864086836,,8596.700755219
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Greed,9883,1,14,684215.002602,69.23150891449964,0.44505,56.92603460487706,26617723.76,2693.2837964180917,,2512.00733119
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Fear,3806,1,10,613327.827224,161.14761619127694,0.0,49.52706253284288,34247716.57,8998.349072517078,,6908.11976519
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Fear,7380,1,13,553818.000465,75.04308949390244,0.0,39.105691056910565,13421173.84,1818.587241192412,,4707.64902071
0x513b8629fe877bb581bf244e326a047b249c4ff1,Fear,5777,1,4,403501.648209,69.84622610507184,0.0,41.56136402977324,163514779.13,28304.44506318158,,28156.73061558
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Fear,939,1,25,341945.434741,364.15914242918,0.0,39.61661341853035,1993872.85,2123.4002662406815,,188.51338816
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Greed,202,1,1,327545.999992,1621.5148514455445,16.01336,51.48514851485149,3294849.97,16311.138465346536,,329.484916
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Fear,2211,1,26,325441.97721599997,147.19221040976933,0.0,37.22297602894618,17917884.11,8103.972912709181,,3999.85393243
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Fear,3737,1,1,223968.37089299998,59.93266547845865,0.0,39.17580947283918,76490050.69,20468.303636606903,,23153.658382999998
0x8170715b3b381dffb7062c0298972d4727a0a63b,Fear,3056,1,7,196303.792847,64.2355343085733,0.0,28.763089005235603,6875178.28,2249.731112565445,,884.188615
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,3041,1,48,187842.08419,61.76984024662939,14.8423,82.40710292666887,11184217.49,3677.8091055573827,,405.408361
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Fear,258,1,8,183403.024142,710.8644346589148,0.0,24.418604651162788,1177449.09,4563.756162790698,,137.559495979
0x430f09841d65beb3f27765503d0f850b8bce7713,Greed,43,1,7,160450.518105,3731.4073977906974,1068.426276,88.37209302325581,289936.95,6742.71976744186,,101.476704
0x430f09841d65beb3f27765503d0f850b8bce7713,Neutral,249,1,10,145563.448374,584.5921621445783,134.40141,95.18072289156626,438228.42,1759.9534939759035,,31.790452000000002
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Fear,4885,1,38,136208.043913,27.882915847082906,6.51825,79.85670419651996,11383531.66,2330.3033080859777,,1739.321652
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Fear,26651,1,14,126967.976166,4.764098013808112,0.0,38.48636073693295,41437969.8,1554.8373344339798,,9512.31758037
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,6472,1,56,121880.386016,18.831950867737948,0.0,44.37577255871446,3129795.22,483.5901143386898,,1079.2967933
0x2c229d22b100a7beb69122eed721cee9b24011dd,Fear,2471,1,32,116412.254606,47.11139401295022,0.625788,53.37919870497774,7919556.5600000005,3205.000631323351,,2370.023531
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Greed,1703,1,3,111230.498007,65.31444392660012,0.0,32.82442748091603,33455719.11,19645.16682912507,,10666.444512
0x430f09841d65beb3f27765503d0f850b8bce7713,Fear,671,1,3,110527.905862,164.72117118032787,0.0,48.28614008941878,1883941.47,2807.6623994038746,,303.392309
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Greed,250,1,1,101539.274031,406.15709612399996,275.362103,100.0,131367.84,525.47136,,36.926673
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Fear,2080,1,5,100502.420808,48.31847154230769,0.0,39.03846153846154,7134710.2,3430.149134615385,,2058.64770854
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Fear,932,1,4,98269.195073,105.43905050751073,0.0,43.99141630901288,7547409.37,8098.078723175966,,1129.21995629
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Greed,3711,1,50,69282.42904,18.6694769711668,0.0,33.818377795742386,1834112.91,494.23683912691996,,623.1971965500001
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Greed,283,1,7,67900.247545,239.93020333922263,3.894186,54.77031802120141,476629.33,1684.2025795053005,,29.20086424
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Fear,1802,1,7,64510.169958,35.799206413984464,0.0,34.01775804661487,11629308.63,6453.556398446171,,3297.2099173300003
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Neutral,1643,1,18,62586.1816,38.09262422398053,0.0,20.998174071819843,4723983.0,2875.2178940961658,,2953.83210411
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Greed,328,1,2,61076.167808,186.20782868292682,0.0,41.15853658536585,2769684.87,8444.161189024391,,729.438968
0x2c229d22b100a7beb69122eed721cee9b24011dd,Greed,763,1,18,52215.729448,68.43476991874181,0.0,47.44429882044561,2244613.0,2941.8256880733943,,737.224469
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Greed,419,1,3,51737.579418,123.4787098281623,0.0,2.863961813842482,965878.98,2305.200429594272,,92.724032
