symbol_clean,classification,trades,unique_accounts,unique_symbols,total_pnl,avg_pnl,median_pnl,win_rate,total_volume_usd,avg_size_usd,avg_leverage,total_fee
@107,Greed,13687,22,1,2587376.564906,189.0389833349894,0.633446,56.18470081098853,30173298.28,2204.52241396946,,2449.8748774
HYPE,Fear,57236,19,1,1835060.747135,32.061303150726815,0.0,42.01900901530505,124207450.58,2170.0931333426515,,22524.827524
ETH,Fear,5372,14,1,1445276.334934,269.0387816332837,0.0,46.388682055100524,65122075.29,12122.500984735667,,9390.179868
SOL,Fear,7004,16,1,1372564.68248,195.96868681896058,0.0,41.233580810965165,81716466.38,11667.113989149057,,17570.02566
BTC,Fear,16168,18,1,552113.8401799999,34.14855518184067,0.0,35.66303809995052,350316795.91,21667.29316613063,,78999.26853
MELANIA,Fear,3322,9,1,316800.569532,95.36440985310054,0.0,33.59422034918724,5637548.21,1697.0343798916315,,761.598833
ENA,Fear,651,3,1,204461.099217,314.0723490276498,0.0,33.6405529953917,1059976.15,1628.2275729646697,,204.146899
@107,Fear,13698,22,1,189520.969669,13.835667226529422,0.0,39.52401810483282,23617533.77,1724.1592765367207,,3254.77536095
ZRO,Neutral,1146,2,1,143808.737013,125.48755411256545,0.0,33.246073298429316,884554.39,771.8624694589878,,151.459204
SUI,Fear,1142,5,1,127961.864611,112.05066953677758,0.0,44.30823117338004,4702498.16,4117.774220665499,,1177.073015
DOGE,Fear,348,5,1,126661.56937699999,363.97002694540225,0.0,45.689655172413794,650306.04,1868.6955172413793,,215.305363
BTC,Greed,2299,11,1,104565.592788,45.48307646280991,0.0,33.710308829926056,38360577.72,16685.766733362332,,11862.122286
BERA,Fear,1050,10,1,79782.246587,75.98309198761905,0.37393200000000004,51.8095238095238,2048113.5,1950.5842857142857,,356.278784
HYPE,Greed,5210,8,1,76270.31735699999,14.639216383301342,0.0,38.63723608445297,8599874.84,1650.6477619961613,,802.043316
SUI,Greed,701,4,1,70053.87455,99.93420049928672,0.0,43.509272467902996,2907959.2399999998,4148.301340941512,,773.230626
USUAL,Fear,440,5,1,64521.198101,146.63908659318182,0.0,42.04545454545455,605576.67,1376.3106136363638,,130.376236
TRUMP,Fear,1323,11,1,58707.766254,44.374728839002266,0.0,41.118669690098265,5135718.61,3881.8734769463344,,1231.660249
PURR/USDC,Greed,1311,8,1,57785.313834,44.07727981235698,1.02328,52.250190694126616,319634.26,243.8095041952708,,139.67894
EIGEN,Greed,237,3,1,51711.520477,218.19206952320675,0.0,16.033755274261605,326368.85,1377.0837552742614,,42.509312
ETHFI,Neutral,311,1,1,43929.006074,141.2508233890675,0.0,39.87138263665595,769716.13,2474.9714790996786,,253.150573
JUP,Fear,482,4,1,43436.877623,90.11800336721991,0.0,36.92946058091287,1258123.89,2610.215539419087,,438.966023
KBONK,Extreme Greed,417,1,1,36250.180852,86.93088933333333,22.89856,88.48920863309353,1950733.73,4678.018537170264,,-1.0566889999999987
ZRO,Greed,23,1,1,36165.56933,1572.416057826087,1147.561968,100.0,165648.12,7202.092173913044,,57.976841
